"period","zone","group","measure","value"
"2001-2003","S01001790","Former Smoker","Count",1
"2004-2006","S01001790","Former Smoker","Count",0
"2000-2002","S01001790","Former Smoker","Count",1
"2009-2011","S01001790","Former Smoker","Count",3
"2002-2004","S01001790","Former Smoker","Count",0
"2007-2009","S01001790","Former Smoker","Count",1
"2005-2007","S01001790","Former Smoker","Count",1
"2008-2010","S01001790","Former Smoker","Count",1
"2010-2012","S01001790","Former Smoker","Count",5
"2003-2005","S01001790","Former Smoker","Count",0
"2011-2013","S01001790","Former Smoker","Count",7
"2006-2008","S01001790","Former Smoker","Count",1
"2009-2011","S01001790","Never Smoked","Count",13
"2002-2004","S01001790","Never Smoked","Count",10
"2007-2009","S01001790","Never Smoked","Count",16
"2008-2010","S01001790","Never Smoked","Count",16
"2000-2002","S01001790","Never Smoked","Count",15
"2003-2005","S01001790","Never Smoked","Count",11
"2004-2006","S01001790","Never Smoked","Count",12
"2001-2003","S01001790","Never Smoked","Count",9
"2011-2013","S01001790","Never Smoked","Count",8
"2005-2007","S01001790","Never Smoked","Count",13
"2006-2008","S01001790","Never Smoked","Count",14
"2010-2012","S01001790","Never Smoked","Count",13
"2001-2003","S01001790","Not Known If Smoking","Count",0
"2002-2004","S01001790","Not Known If Smoking","Count",0
"2003-2005","S01001790","Not Known If Smoking","Count",0
"2004-2006","S01001790","Not Known If Smoking","Count",0
"2005-2007","S01001790","Not Known If Smoking","Count",0
"2006-2008","S01001790","Not Known If Smoking","Count",0
"2007-2009","S01001790","Not Known If Smoking","Count",0
"2008-2010","S01001790","Not Known If Smoking","Count",2
"2009-2011","S01001790","Not Known If Smoking","Count",3
"2010-2012","S01001790","Not Known If Smoking","Count",3
"2000-2002","S01001790","Not Known If Smoking","Count",1
"2011-2013","S01001790","Not Known If Smoking","Count",1
"2006-2008","S01001790","Current Smoker","Count",1
"2002-2004","S01001790","Current Smoker","Count",0
"2005-2007","S01001790","Current Smoker","Count",1
"2010-2012","S01001790","Current Smoker","Count",0
"2000-2002","S01001790","Current Smoker","Count",2
"2004-2006","S01001790","Current Smoker","Count",1
"2003-2005","S01001790","Current Smoker","Count",0
"2001-2003","S01001790","Current Smoker","Count",0
"2011-2013","S01001790","Current Smoker","Count",0
"2008-2010","S01001790","Current Smoker","Count",0
"2009-2011","S01001790","Current Smoker","Count",0
"2007-2009","S01001790","Current Smoker","Count",0
"2001-2003","S01001790","Not Known If Smoking","Ratio",0
"2000-2002","S01001790","Former Smoker","Ratio","5.26"
"2003-2005","S01001790","Current Smoker","Ratio",0
"2004-2006","S01001790","Former Smoker","Ratio",0
"2002-2004","S01001790","Not Known If Smoking","Ratio",0
"2009-2011","S01001790","Current Smoker","Ratio",0
"2007-2009","S01001790","Former Smoker","Ratio","5.88"
"2006-2008","S01001790","Current Smoker","Ratio","6.25"
"2003-2005","S01001790","Not Known If Smoking","Ratio",0
"2004-2006","S01001790","Not Known If Smoking","Ratio",0
"2005-2007","S01001790","Current Smoker","Ratio","6.67"
"2002-2004","S01001790","Former Smoker","Ratio",0
"2005-2007","S01001790","Not Known If Smoking","Ratio",0
"2005-2007","S01001790","Former Smoker","Ratio","6.67"
"2003-2005","S01001790","Former Smoker","Ratio",0
"2001-2003","S01001790","Current Smoker","Ratio",0
"2008-2010","S01001790","Former Smoker","Ratio","5.26"
"2006-2008","S01001790","Not Known If Smoking","Ratio",0
"2010-2012","S01001790","Former Smoker","Ratio","23.81"
"2011-2013","S01001790","Former Smoker","Ratio","43.75"
"2006-2008","S01001790","Former Smoker","Ratio","6.25"
"2001-2003","S01001790","Former Smoker","Ratio",10
"2007-2009","S01001790","Current Smoker","Ratio",0
"2009-2011","S01001790","Former Smoker","Ratio","15.79"
"2010-2012","S01001790","Current Smoker","Ratio",0
"2002-2004","S01001790","Never Smoked","Ratio",100
"2007-2009","S01001790","Never Smoked","Ratio","94.12"
"2007-2009","S01001790","Not Known If Smoking","Ratio",0
"2008-2010","S01001790","Not Known If Smoking","Ratio","10.53"
"2011-2013","S01001790","Current Smoker","Ratio",0
"2008-2010","S01001790","Never Smoked","Ratio","84.21"
"2009-2011","S01001790","Never Smoked","Ratio","68.42"
"2000-2002","S01001790","Never Smoked","Ratio","78.95"
"2008-2010","S01001790","Current Smoker","Ratio",0
"2003-2005","S01001790","Never Smoked","Ratio",100
"2009-2011","S01001790","Not Known If Smoking","Ratio","15.79"
"2010-2012","S01001790","Not Known If Smoking","Ratio","14.29"
"2004-2006","S01001790","Never Smoked","Ratio","92.31"
"2000-2002","S01001790","Current Smoker","Ratio","10.53"
"2002-2004","S01001790","Current Smoker","Ratio",0
"2001-2003","S01001790","Never Smoked","Ratio",90
"2000-2002","S01001790","Not Known If Smoking","Ratio","5.26"
"2010-2012","S01001790","Never Smoked","Ratio","61.9"
"2005-2007","S01001790","Never Smoked","Ratio","86.67"
"2006-2008","S01001790","Never Smoked","Ratio","87.5"
"2004-2006","S01001790","Current Smoker","Ratio","7.69"
"2011-2013","S01001790","Never Smoked","Ratio",50
"2011-2013","S01001790","Not Known If Smoking","Ratio","6.25"
"2001-2003","S01001791","Former Smoker","Count",1
"2004-2006","S01001791","Former Smoker","Count",0
"2000-2002","S01001791","Former Smoker","Count",1
"2009-2011","S01001791","Former Smoker","Count",1
"2002-2004","S01001791","Former Smoker","Count",1
"2007-2009","S01001791","Former Smoker","Count",0
"2005-2007","S01001791","Former Smoker","Count",0
"2008-2010","S01001791","Former Smoker","Count",0
"2010-2012","S01001791","Former Smoker","Count",3
"2003-2005","S01001791","Former Smoker","Count",1
"2011-2013","S01001791","Former Smoker","Count",3
"2006-2008","S01001791","Former Smoker","Count",0
"2009-2011","S01001791","Never Smoked","Count",12
"2002-2004","S01001791","Never Smoked","Count",14
"2007-2009","S01001791","Never Smoked","Count",10
"2008-2010","S01001791","Never Smoked","Count",7
"2000-2002","S01001791","Never Smoked","Count",11
"2003-2005","S01001791","Never Smoked","Count",16
"2004-2006","S01001791","Never Smoked","Count",13
"2001-2003","S01001791","Never Smoked","Count",11
"2011-2013","S01001791","Never Smoked","Count",13
"2005-2007","S01001791","Never Smoked","Count",12
"2006-2008","S01001791","Never Smoked","Count",9
"2010-2012","S01001791","Never Smoked","Count",14
"2001-2003","S01001791","Not Known If Smoking","Count",3
"2002-2004","S01001791","Not Known If Smoking","Count",1
"2003-2005","S01001791","Not Known If Smoking","Count",0
"2004-2006","S01001791","Not Known If Smoking","Count",0
"2005-2007","S01001791","Not Known If Smoking","Count",0
"2006-2008","S01001791","Not Known If Smoking","Count",0
"2007-2009","S01001791","Not Known If Smoking","Count",0
"2008-2010","S01001791","Not Known If Smoking","Count",3
"2009-2011","S01001791","Not Known If Smoking","Count",3
"2010-2012","S01001791","Not Known If Smoking","Count",3
"2000-2002","S01001791","Not Known If Smoking","Count",3
"2011-2013","S01001791","Not Known If Smoking","Count",0
"2006-2008","S01001791","Current Smoker","Count",1
"2002-2004","S01001791","Current Smoker","Count",0
"2005-2007","S01001791","Current Smoker","Count",1
"2010-2012","S01001791","Current Smoker","Count",1
"2000-2002","S01001791","Current Smoker","Count",0
"2004-2006","S01001791","Current Smoker","Count",0
"2003-2005","S01001791","Current Smoker","Count",0
"2001-2003","S01001791","Current Smoker","Count",0
"2011-2013","S01001791","Current Smoker","Count",1
"2008-2010","S01001791","Current Smoker","Count",0
"2009-2011","S01001791","Current Smoker","Count",1
"2007-2009","S01001791","Current Smoker","Count",1
"2001-2003","S01001791","Not Known If Smoking","Ratio",20
"2000-2002","S01001791","Former Smoker","Ratio","6.67"
"2003-2005","S01001791","Current Smoker","Ratio",0
"2004-2006","S01001791","Former Smoker","Ratio",0
"2002-2004","S01001791","Not Known If Smoking","Ratio","6.25"
"2009-2011","S01001791","Current Smoker","Ratio","5.88"
"2007-2009","S01001791","Former Smoker","Ratio",0
"2006-2008","S01001791","Current Smoker","Ratio",10
"2003-2005","S01001791","Not Known If Smoking","Ratio",0
"2004-2006","S01001791","Not Known If Smoking","Ratio",0
"2005-2007","S01001791","Current Smoker","Ratio","7.69"
"2002-2004","S01001791","Former Smoker","Ratio","6.25"
"2005-2007","S01001791","Not Known If Smoking","Ratio",0
"2005-2007","S01001791","Former Smoker","Ratio",0
"2003-2005","S01001791","Former Smoker","Ratio","5.88"
"2001-2003","S01001791","Current Smoker","Ratio",0
"2008-2010","S01001791","Former Smoker","Ratio",0
"2006-2008","S01001791","Not Known If Smoking","Ratio",0
"2010-2012","S01001791","Former Smoker","Ratio","14.29"
"2011-2013","S01001791","Former Smoker","Ratio","17.65"
"2006-2008","S01001791","Former Smoker","Ratio",0
"2001-2003","S01001791","Former Smoker","Ratio","6.67"
"2007-2009","S01001791","Current Smoker","Ratio","9.09"
"2009-2011","S01001791","Former Smoker","Ratio","5.88"
"2010-2012","S01001791","Current Smoker","Ratio","4.76"
"2002-2004","S01001791","Never Smoked","Ratio","87.5"
"2007-2009","S01001791","Never Smoked","Ratio","90.91"
"2007-2009","S01001791","Not Known If Smoking","Ratio",0
"2008-2010","S01001791","Not Known If Smoking","Ratio",30
"2011-2013","S01001791","Current Smoker","Ratio","5.88"
"2008-2010","S01001791","Never Smoked","Ratio",70
"2009-2011","S01001791","Never Smoked","Ratio","70.59"
"2000-2002","S01001791","Never Smoked","Ratio","73.33"
"2008-2010","S01001791","Current Smoker","Ratio",0
"2003-2005","S01001791","Never Smoked","Ratio","94.12"
"2009-2011","S01001791","Not Known If Smoking","Ratio","17.65"
"2010-2012","S01001791","Not Known If Smoking","Ratio","14.29"
"2004-2006","S01001791","Never Smoked","Ratio",100
"2000-2002","S01001791","Current Smoker","Ratio",0
"2002-2004","S01001791","Current Smoker","Ratio",0
"2001-2003","S01001791","Never Smoked","Ratio","73.33"
"2000-2002","S01001791","Not Known If Smoking","Ratio",20
"2010-2012","S01001791","Never Smoked","Ratio","66.67"
"2005-2007","S01001791","Never Smoked","Ratio","92.31"
"2006-2008","S01001791","Never Smoked","Ratio",90
"2004-2006","S01001791","Current Smoker","Ratio",0
"2011-2013","S01001791","Never Smoked","Ratio","76.47"
"2011-2013","S01001791","Not Known If Smoking","Ratio",0
"2001-2003","S01001792","Former Smoker","Count",1
"2004-2006","S01001792","Former Smoker","Count",2
"2000-2002","S01001792","Former Smoker","Count",1
"2009-2011","S01001792","Former Smoker","Count",4
"2002-2004","S01001792","Former Smoker","Count",1
"2007-2009","S01001792","Former Smoker","Count",1
"2005-2007","S01001792","Former Smoker","Count",2
"2008-2010","S01001792","Former Smoker","Count",1
"2010-2012","S01001792","Former Smoker","Count",7
"2003-2005","S01001792","Former Smoker","Count",1
"2011-2013","S01001792","Former Smoker","Count",7
"2006-2008","S01001792","Former Smoker","Count",2
"2009-2011","S01001792","Never Smoked","Count",15
"2002-2004","S01001792","Never Smoked","Count",11
"2007-2009","S01001792","Never Smoked","Count",22
"2008-2010","S01001792","Never Smoked","Count",19
"2000-2002","S01001792","Never Smoked","Count",17
"2003-2005","S01001792","Never Smoked","Count",11
"2004-2006","S01001792","Never Smoked","Count",19
"2001-2003","S01001792","Never Smoked","Count",11
"2011-2013","S01001792","Never Smoked","Count",19
"2005-2007","S01001792","Never Smoked","Count",19
"2006-2008","S01001792","Never Smoked","Count",22
"2010-2012","S01001792","Never Smoked","Count",16
"2001-2003","S01001792","Not Known If Smoking","Count",3
"2002-2004","S01001792","Not Known If Smoking","Count",2
"2003-2005","S01001792","Not Known If Smoking","Count",0
"2004-2006","S01001792","Not Known If Smoking","Count",0
"2005-2007","S01001792","Not Known If Smoking","Count",0
"2006-2008","S01001792","Not Known If Smoking","Count",0
"2007-2009","S01001792","Not Known If Smoking","Count",2
"2008-2010","S01001792","Not Known If Smoking","Count",5
"2009-2011","S01001792","Not Known If Smoking","Count",5
"2010-2012","S01001792","Not Known If Smoking","Count",3
"2000-2002","S01001792","Not Known If Smoking","Count",3
"2011-2013","S01001792","Not Known If Smoking","Count",0
"2006-2008","S01001792","Current Smoker","Count",3
"2002-2004","S01001792","Current Smoker","Count",1
"2005-2007","S01001792","Current Smoker","Count",2
"2010-2012","S01001792","Current Smoker","Count",1
"2000-2002","S01001792","Current Smoker","Count",0
"2004-2006","S01001792","Current Smoker","Count",3
"2003-2005","S01001792","Current Smoker","Count",2
"2001-2003","S01001792","Current Smoker","Count",0
"2011-2013","S01001792","Current Smoker","Count",1
"2008-2010","S01001792","Current Smoker","Count",3
"2009-2011","S01001792","Current Smoker","Count",2
"2007-2009","S01001792","Current Smoker","Count",3
"2001-2003","S01001792","Not Known If Smoking","Ratio",20
"2000-2002","S01001792","Former Smoker","Ratio","4.76"
"2003-2005","S01001792","Current Smoker","Ratio","14.29"
"2004-2006","S01001792","Former Smoker","Ratio","8.33"
"2002-2004","S01001792","Not Known If Smoking","Ratio","13.33"
"2009-2011","S01001792","Current Smoker","Ratio","7.69"
"2007-2009","S01001792","Former Smoker","Ratio","3.57"
"2006-2008","S01001792","Current Smoker","Ratio","11.11"
"2003-2005","S01001792","Not Known If Smoking","Ratio",0
"2004-2006","S01001792","Not Known If Smoking","Ratio",0
"2005-2007","S01001792","Current Smoker","Ratio","8.7"
"2002-2004","S01001792","Former Smoker","Ratio","6.67"
"2005-2007","S01001792","Not Known If Smoking","Ratio",0
"2005-2007","S01001792","Former Smoker","Ratio","8.7"
